Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
1,00,06,25.3,0.2,37,36.9,0.3,141,52.7,0.8,22,2,2.3V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.87833333333333,37.615,2011,6,2
1,00,22,41.3,0.1,39,03.3,0.3,142,24.4,0.7,32,1,3.5V,,,"(2, 62)",E OFF IWATE PREF,142.40666666666667,39.055,2011,6,10
1,00,29,32.5,0.1,39,05.7,0.3,142,23.6,0.7,29,1,2.6V,,,"(2, 62)",E OFF IWATE PREF,142.39333333333335,39.095,2011,6,14
1,00,47,27.9,0.1,38,24.5,0.4,142,07.0,0.6,30,2,1.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.11666666666667,38.40833333333333,2011,6,20
1,01,10,47.1,0.2,38,50.2,0.5,142,26.3,1.0,33,3,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.43833333333333,38.836666666666666,2011,6,37
1,01,41,19.6,0.0,37,39.5,0.2,141,45.7,0.5,44,2,4.2D,4.6V,2,"(2, 69)",E OFF FUKUSHIMA PREF,141.76166666666666,37.65833333333333,2011,6,51
1,02,15,17.1,0.1,38,52.7,0.2,141,59.8,0.5,50,1,4.1D,4.4V,2,"(2, 66)",KINKAZAN REGION,141.99666666666667,38.87833333333333,2011,6,61
1,02,18,24.9,0.1,38,47.6,0.2,142,01.0,0.6,36,1,2.7V,,,"(2, 66)",KINKAZAN REGION,142.01666666666668,38.79333333333334,2011,6,62
1,02,50,33.8,0.2,38,54.3,0.5,142,27.4,1.1,35,3,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.45666666666668,38.905,2011,6,74
1,03,20,00.7,0.1,38,22.9,0.5,142,08.7,0.9,35,1,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.145,38.38166666666667,2011,6,90
1,03,20,10.7,0.3,38,50.7,1.0,142,23.6,1.1,35,,3.0V,,,"(2, 65)",E OFF MIYAGI PREF,142.39333333333335,38.845,2011,6,91
1,04,06,23.8,0.2,37,38.8,0.4,141,59.8,0.8,31,3,3.3V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.99666666666667,37.64666666666667,2011,6,118
1,04,54,29.3,0.1,38,18.8,0.5,142,06.3,0.8,35,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.105,38.31333333333333,2011,6,140
1,05,36,34.9,0.2,38,50.5,0.4,142,24.8,0.9,34,3,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.41333333333333,38.84166666666667,2011,6,153
1,06,15,26.0,0.1,38,20.5,0.4,142,07.3,0.7,33,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.12166666666667,38.34166666666667,2011,6,177
1,06,41,09.3,0.1,37,42.0,0.3,141,45.4,0.7,36,2,2.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.75666666666666,37.7,2011,6,191
