Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
1,00,00,09.8,0.0,36,49.8,0.1,138,38.9,0.1,8,1,1.2V,,,"(4,144)",NORTHERN NAGANO PREF
,00,03,03.1,0.0,37,12.5,0.1,140,54.9,0.3,6,1,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,00,06,25.3,0.2,37,36.9,0.3,141,52.7,0.8,22,2,2.3V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,00,09,09.2,0.2,36,21.4,0.3,140,55.2,1.0,33,2,1.1V,,,"(3,111)",E OFF IBARAKI PREF
,00,15,14.7,0.1,35,45.6,0.2,140,52.4,0.4,13,1,1.6V,,,"(3,110)",NEAR CHOSHI CITY
,00,15,26.9,0.0,32,57.5,0.1,131,06.0,0.1,8,1,0.3v,,,"(7,270)",NE KUMAMOTO PREF
,00,17,17.9,0.1,35,59.8,0.2,139,54.4,0.3,29,1,1.4V,,,"(3, 87)",SOUTHERN IBARAKI PREF
,00,18,38.0,0.2,39,50.1,0.4,139,42.2,1.2,6,2,1.1V,,,"(2, 45)",OGA PENINSULA REGION
,00,19,49.0,0.0,37,13.4,0.1,138,48.3,0.2,12,1,0.7V,,,"(4,132)",MID NIIGATA PREF
,00,22,22.1,0.0,33,14.2,0.2,132,18.1,0.2,44,1,0.5v,,,"(6,245)",BUNGO CHANNEL
,00,22,41.3,0.1,39,03.3,0.3,142,24.4,0.7,32,1,3.5V,,,"(2, 62)",E OFF IWATE PREF
,00,23,25.9,0.0,36,41.0,0.0,140,38.2,0.2,6,0,1.3V,,,"(3, 86)",NORTHERN IBARAKI PREF
,00,24,03.4,0.0,36,49.0,0.2,138,40.5,0.2,7,2,1.5V,,,"(4,132)",MID NIIGATA PREF
,00,28,19.6,0.0,36,06.2,0.1,137,28.3,0.1,9,1,0.7V,,,"(4,141)",NORTHERN GIFU PREF
,00,29,32.5,0.1,39,05.7,0.3,142,23.6,0.7,29,1,2.6V,,,"(2, 62)",E OFF IWATE PREF
,00,32,57.2,0.3,37,02.1,0.6,141,55.7,1.2,15,3,2.9V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,00,34,42.4,0.4,37,01.3,0.6,141,52.1,1.8,5,5,2.5V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,00,38,51.2,0.0,33,01.6,0.0,130,43.5,0.1,12,0,1.2V,,,"(7,269)",NW KUMAMOTO PREF
,00,39,15.5,0.1,43,05.0,0.5,144,45.3,0.5,72,1,,,,"(1,  8)",KUSHIRO REGION
,00,40,04.7,0.0,37,43.9,0.1,139,58.1,0.1,9,1,1.3V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,00,47,27.9,0.1,38,24.5,0.4,142,07.0,0.6,30,2,1.6V,,,"(2, 65)",E OFF MIYAGI PREF
,00,48,33.9,0.0,35,12.3,0.1,137,13.3,0.2,44,1,1.2V,,,"(4,161)",CENTRAL AICHI PREF
,00,48,40.6,0.1,35,42.5,0.4,140,37.6,0.6,50,1,2.4V,,,"(3,110)",NEAR CHOSHI CITY
,00,48,50.7,0.2,37,14.6,0.5,141,22.0,1.1,22,3,2.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,00,49,33.2,0.1,29,04.2,0.3,129,30.6,1.7,19,4,,,,"(7,285)",NEAR TOKARA ISLANDS
,00,50,30.5,0.0,34,52.4,0.1,137,03.0,0.2,11,1,1.0V,,,"(4,162)",MIKAWA BAY REGION
,00,51,17.5,0.0,37,43.7,0.1,139,58.1,0.2,6,2,1.1V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,00,51,58.8,0.0,37,44.0,0.1,139,58.2,0.1,9,1,2.7V,,1,"(2, 54)",WESTERN FUKUSHIMA PREF
,00,53,55.5,0.1,39,38.0,0.2,142,07.1,0.6,46,1,1.2V,,,"(2, 62)",E OFF IWATE PREF
,00,55,23.9,0.0,36,06.7,0.1,137,15.4,0.1,11,0,0.3V,,,"(4,141)",NORTHERN GIFU PREF
,00,57,51.8,0.0,37,47.5,0.1,140,00.2,0.1,9,1,0.9V,,,"(2, 53)",SOUTHERN YAMAGATA PREF
,00,59,46.1,0.0,37,12.0,0.1,140,55.3,0.3,6,1,1.1V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,01,02,32.9,0.0,34,05.0,0.1,135,25.1,0.1,6,1,0.3v,,,"(5,189)",NE WAKAYAMA PREF
,01,07,10.6,0.1,31,30.9,0.4,129,00.2,0.5,9,2,2.9V,,,"(7,284)",SW OFF KYUSHU
,01,07,19.4,0.1,36,15.9,0.3,141,01.9,1.0,36,1,1.4V,,,"(3,111)",E OFF IBARAKI PREF
,01,08,06.9,0.0,37,43.7,0.1,139,58.4,0.1,8,1,1.3V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,01,08,16.6,0.0,35,26.3,0.0,137,23.4,0.0,7,1,0.9V,,,"(4,140)",SE GIFU PREF
,01,10,47.1,0.2,38,50.2,0.5,142,26.3,1.0,33,3,2.9V,,,"(2, 65)",E OFF MIYAGI PREF
,01,13,46.3,0.1,36,13.6,0.3,140,54.9,0.8,45,1,1.6V,,,"(3,111)",E OFF IBARAKI PREF
,01,14,23.3,0.0,33,38.9,0.1,130,18.1,0.1,10,0,1.1V,,,"(7,262)",CENTRAL FUKUOKA PREF
,01,17,29.1,0.0,32,41.1,0.1,129,59.8,0.1,14,1,0.9V,,,"(7,267)",NEAR UNZENDAKE
,01,18,25.1,0.0,37,02.4,0.1,140,34.0,0.1,5,1,2.0V,,,"(2, 55)",MID FUKUSHIMA PREF
,01,22,25.6,0.0,34,08.4,0.1,135,26.9,0.1,6,1,0.2V,,,"(5,189)",NE WAKAYAMA PREF
,01,22,45.0,0.0,37,00.2,0.0,140,32.0,0.1,7,1,1.8V,,,"(2, 55)",MID FUKUSHIMA PREF
,01,25,17.3,0.0,37,12.2,0.0,140,54.6,0.2,6,0,2.5V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,01,26,07.9,0.1,40,14.9,0.3,143,21.1,0.6,12,2,5.1D,4.9W,2,"(2, 63)",FAR E OFF SANRIKU        NPS
,01,27,40.6,0.0,32,30.3,0.1,130,54.6,0.0,10,0,0.2V,,,"(7,271)",SOUTHERN KUMAMOTO PREF
,01,30,57.0,0.3,35,15.2,1.1,143,13.3,1.8,76,,4.4V,,,"(8,328)",FAR E OFF CENTRAL HONSHU
,01,33,17.2,0.1,29,59.4,0.5,130,16.4,0.6,59,1,1.5v,,,"(7,285)",NEAR TOKARA ISLANDS
,01,35,29.2,0.1,42,39.2,0.5,145,21.5,1.0,43,3,1.4v,,,"(1, 27)",OFF NEMURO PENINSULA
,01,40,28.6,0.0,38,18.8,0.1,140,41.7,0.2,11,1,2.0V,,,"(2, 51)",SOUTHERN MIYAGI PREF
,01,41,19.6,0.0,37,39.5,0.2,141,45.7,0.5,44,2,4.2D,4.6V,2,"(2, 69)",E OFF FUKUSHIMA PREF
,01,50,19.4,0.0,36,43.9,0.0,140,36.3,0.1,7,0,2.0V,,,"(3, 86)",NORTHERN IBARAKI PREF
,01,58,28.4,0.2,36,57.7,0.9,143,46.4,1.0,65,,3.6V,,,"(8,328)",FAR E OFF CENTRAL HONSHU
,02,06,01.0,0.2,27,50.8,1.0,130,07.4,0.9,58,3,2.2V,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,02,07,01.4,0.1,35,48.5,0.4,140,53.6,0.7,29,1,2.5V,,,"(3,110)",NEAR CHOSHI CITY
,02,07,06.5,0.0,33,41.8,0.0,134,03.4,0.0,10,1,0.4V,,,"(6,232)",SE KOCHI PREF
,02,11,21.0,0.4,24,50.1,1.4,122,25.3,0.5,1,4,2.3v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,02,12,25.4,0.2,24,49.7,0.9,122,25.4,0.3,1,3,2.5v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,02,12,37.2,0.0,37,04.3,0.1,140,36.8,0.1,10,1,2.5V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,02,14,47.4,0.0,36,07.4,0.1,140,56.6,0.4,29,1,1.7V,,,"(3,111)",E OFF IBARAKI PREF
,02,15,17.1,0.1,38,52.7,0.2,141,59.8,0.5,50,1,4.1D,4.4V,2,"(2, 66)",KINKAZAN REGION
,02,18,24.9,0.1,38,47.6,0.2,142,01.0,0.6,36,1,2.7V,,,"(2, 66)",KINKAZAN REGION
,02,19,25.9,0.0,32,55.3,0.1,131,49.2,0.1,11,1,0.8V,,,"(7,279)",SOUTHERN OITA PREF
,02,26,12.3,0.0,31,58.9,0.1,131,00.6,0.1,6,1,1.5V,,,"(7,277)",SOUTHERN MIYAZAKI PREF
,02,29,52.0,0.1,24,14.4,0.3,123,44.8,0.3,16,1,1.3V,,,"(7,290)",NEAR ISHIGAKIJIMA ISLAND
,02,31,11.1,0.0,36,31.4,0.1,140,56.6,0.4,14,1,2.5V,,,"(3,111)",E OFF IBARAKI PREF
,02,35,12.3,0.2,36,14.9,0.4,140,53.9,1.0,44,2,1.8V,,,"(3,111)",E OFF IBARAKI PREF
,02,38,07.4,0.1,36,14.4,0.2,140,52.4,0.6,43,1,2.9V,,,"(3,111)",E OFF IBARAKI PREF
,02,39,46.9,0.1,28,11.4,1.9,130,21.2,0.9,31,2,1.3v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,02,43,11.5,0.3,36,35.0,0.7,141,34.0,1.4,21,4,2.4V,,,"(3,111)",E OFF IBARAKI PREF
,02,43,43.2,0.1,37,43.5,0.2,139,54.5,0.3,9,1,1.1V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,02,47,43.8,0.0,32,45.8,0.1,131,03.0,0.1,5,1,0.2V,,,"(7,270)",NE KUMAMOTO PREF
,02,50,11.9,0.1,36,22.0,0.3,140,53.5,0.8,39,1,1.5V,,,"(3,111)",E OFF IBARAKI PREF
,02,50,33.8,0.2,38,54.3,0.5,142,27.4,1.1,35,3,2.3V,,,"(2, 65)",E OFF MIYAGI PREF
,02,51,03.8,0.1,37,21.7,0.3,141,21.9,0.7,32,1,2.5V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,02,58,21.7,0.0,35,02.7,0.1,137,49.6,0.1,18,1,0.7V,,,"(4,158)",SW SHIZUOKA PREF
,03,00,42.7,0.0,36,58.1,0.0,140,39.5,0.1,8,0,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,03,02,00.4,0.0,36,54.8,0.0,140,38.7,0.1,6,0,1.6V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,03,04,43.2,0.1,35,03.9,0.2,138,03.2,0.2,37,1,0.2V,,,"(4,157)",CENTRAL SHIZUOKA PREF
,03,06,08.6,0.1,35,49.0,0.3,140,56.1,0.7,15,1,1.5V,,,"(3,110)",NEAR CHOSHI CITY
,03,07,21.7,0.1,36,25.7,0.2,140,32.6,0.4,53,1,1.4V,,,"(3, 86)",NORTHERN IBARAKI PREF
,03,08,23.6,0.4,36,49.5,0.7,141,56.8,2.0,22,4,2.4V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,09,00.1,0.0,43,08.3,0.1,142,42.6,0.2,7,1,0.9V,,,"(1, 10)",TAISETSU MOUNTAINS REG
,03,11,05.8,0.1,36,19.6,0.2,140,48.1,0.7,36,1,1.2V,,,"(3,111)",E OFF IBARAKI PREF
,03,13,07.9,0.2,37,03.3,0.8,142,23.0,1.0,20,,2.7V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,14,57.7,0.0,38,54.9,0.1,140,52.5,0.1,6,1,1.7V,,,"(2, 49)",SOUTHERN IWATE PREF
,03,15,50.2,0.0,36,04.8,0.1,137,33.7,0.1,7,1,0.5V,,,"(4,148)",WESTERN NAGANO PREF
