   1 00 00 18.0 0.0  37 14.2 0.2  141 21.5 0.4   24 1  2.2V        (2, 69) E OFF FUKUSHIMA PREF    
     00 00 40.2 0.0  36 50.6 0.0  140 38.5 0.1    8 0  1.6V        (3, 86) NORTHERN IBARAKI PREF   
     00 02 37.0 0.0  32 26.9 0.1  130 48.1 0.1   11 1  0.2V        (7,271) SOUTHERN KUMAMOTO PREF  
     00 03 55.0 0.0  37 44.3 0.1  139 56.3 0.2    8 1  1.2V        (2, 54) WESTERN FUKUSHIMA PREF  
     00 04 29.1 0.2  37 13.0 0.5  141 22.6 1.5   47 2  1.9V        (2, 69) E OFF FUKUSHIMA PREF    
     00 04 44.9 0.2  24 43.1 1.2  125 07.2 0.6   47 2  1.5V        (7,293) NEAR MIYAKOJIMA ISLAND  
     00 04 54.0 0.0  36 58.1 0.1  140 46.8 0.2    9 1  1.6V        (2, 56) EASTERN FUKUSHIMA PREF  
     00 05 28.1 0.1  39 38.5 0.2  142 08.0 0.5   47 1  1.7V        (2, 62) E OFF IWATE PREF        
     00 07 55.0 0.1  36 57.2 0.4  138 33.9 0.3    7 1  0.2V        (4,132) MID NIIGATA PREF        
     00 08 20.8 0.0  36 45.5 0.1  140 36.1 0.2    6 1  2.9V        (3, 86) NORTHERN IBARAKI PREF   
     00 09 48.3 0.0  37 44.2 0.1  139 56.3 0.1    8 1  1.6V        (2, 54) WESTERN FUKUSHIMA PREF  
     00 13 49.1 0.1  38 24.9 0.3  141 50.9 0.5   55 1  2.2V        (2, 65) E OFF MIYAGI PREF       
     00 14 13.9 0.0  36 51.6 0.1  140 39.4 0.3    4 1  1.7V        (3, 86) NORTHERN IBARAKI PREF   
     00 15 49.6 0.0  37 05.4 0.0  140 50.6 0.1    7 0  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     00 17 15.7 0.0  33 01.8 0.0  130 44.3 0.1   11 1  1.0V        (7,269) NW KUMAMOTO PREF        
     00 17 34.6 0.1  36 19.3 0.3  141 03.6 1.0   45 2  2.3V        (3,111) E OFF IBARAKI PREF      
